Customer,Time of arrival,Number of people at arrival,Which 10 min interval in day,Which day in week,Number of people at station 0 at arrival,Number of people in queue at station 0 at arrival,Number of active servers in station 0,Number of people at station 1 at arrival,Number of people in queue at station 1 at arrival,Number of active servers in station 1,Time of start of service,Departure time,Wait time,
256,3738.05,1,85,2,1,0,9,0,0,4,3749.34,3755.52,11.2993,
257,3740.4,2,86,2,2,0,9,0,0,4,3749.5,3754.25,9.09814,
258,3743.35,3,86,2,3,0,9,0,0,4,3755.37,3761.23,12.0225,
259,3747.19,4,86,2,4,0,9,0,0,4,3756.55,3760.34,9.36011,
260,3760.76,2,88,2,1,0,9,1,0,5,3771.72,3777.08,10.9622,
261,3761.79,2,88,2,2,0,9,0,0,5,3771.92,3780.04,10.123,
262,3765.51,3,88,2,3,0,9,0,0,5,3776.24,3780.29,10.7246,
263,3795.39,1,91,2,1,0,9,0,0,5,3807.54,3812.92,12.1416,
264,3797.4,2,91,2,2,0,9,0,0,5,3807.97,3812.24,10.5676,
265,3801.91,3,92,2,3,0,9,0,0,5,3812.35,3820.82,10.439,
266,3821.06,1,94,2,1,0,9,0,0,5,3829.04,3835.94,7.97974,
267,3833.97,2,95,2,1,0,9,1,0,5,3845.82,3849.89,11.8528,
268,3851.26,1,97,2,1,0,9,0,0,5,3862.16,3866.4,10.9006,
269,3856.09,2,97,2,2,0,9,0,0,5,3864.63,3871.82,8.53809,
270,3861.89,3,98,2,3,0,9,0,0,5,3870.4,3874.78,8.51172,
271,3874.02,2,99,2,1,0,9,1,0,5,3884.63,3889.36,10.613,
272,3877.93,2,99,2,2,0,9,0,0,5,3888.12,3893.83,10.1819,
273,3879.34,3,99,2,3,0,9,0,0,5,3890.9,3894.7,11.5598,
274,3880.11,4,100,2,4,0,9,0,0,5,3891.04,3895.31,10.9368,
275,3916,1,103,2,1,0,9,0,0,5,3926.77,3932.6,10.7725,
276,3920.06,2,104,2,2,0,9,0,0,5,3935.33,3938.89,15.2654,
277,3924.55,3,104,2,3,0,9,0,0,5,3933.63,3937.96,9.07471,
278,3945.59,1,106,2,1,0,9,0,0,5,3956.2,3962.26,10.613,
279,3946.96,2,106,2,2,0,9,0,0,5,3960.3,3965.23,13.3438,
280,3968.49,1,108,2,1,0,9,0,0,5,3979,3985.51,10.5107,
281,3973.49,2,109,2,2,0,9,0,0,5,3984.78,3990.38,11.2993,
282,3979.19,3,109,2,2,0,9,1,0,5,3987.39,3994.26,8.19727,
283,4013.95,1,113,2,1,0,9,0,0,4,4021.25,4024.16,7.30005,
284,4028.47,1,114,2,1,0,9,0,0,4,4038.57,4041.31,10.1011,
285,4043.66,1,116,2,1,0,9,0,0,4,4057,4060.12,13.3438,
286,4046.35,2,116,2,2,0,9,0,0,4,4057.25,4061.27,10.897,
287,4063.33,1,118,2,1,0,9,0,0,4,4074.13,4078.2,10.7991,
288,4074.77,2,119,2,1,0,9,1,0,4,4085.71,4088.86,10.9468,
289,4087.94,2,120,2,1,0,9,1,0,3,4099,4103.4,11.062,
290,4117.63,1,123,2,1,0,9,0,0,3,4126.72,4130.31,9.09131,
291,4136.16,1,125,2,1,0,9,0,0,3,4144.54,4148.46,8.37842,
292,4152.64,1,127,2,1,0,9,0,0,3,4161.75,4168.28,9.10742,
293,4207.17,1,132,2,1,0,9,0,0,3,4215.95,4222.68,8.78174,
294,4258.46,1,137,2,1,0,8,0,0,3,4269.17,4275.52,10.7095,
295,4283.57,1,140,2,1,0,8,0,0,3,4293.18,4300.49,9.60889,
296,4287.97,2,140,2,2,0,8,0,0,3,4298.87,4304.61,10.897,
297,4323.49,1,0,3,1,0,8,0,0,3,4333.04,4335.68,9.54932,
298,4350.81,1,3,3,1,0,8,0,0,2,4362.66,4368.85,11.8477,
299,4374.97,1,5,3,1,0,8,0,0,2,4386.52,4394.5,11.5503,
300,4375.34,2,5,3,2,0,8,0,0,2,4384.67,4388.75,9.33008,
301,4390.49,2,7,3,1,0,8,1,0,2,4399.78,4403.03,9.28467,
302,4441.38,1,12,3,1,0,8,0,0,1,4451.48,4455.94,10.1011,
303,4483.78,1,16,3,1,0,5,0,0,1,4498.03,4501.6,14.249,
304,4483.83,2,16,3,2,0,5,0,0,1,4493.88,4498.03,10.0493,
305,4495.95,3,17,3,1,0,5,2,1,1,4505.38,4511.12,9.42773,
306,4513.96,1,19,3,1,0,5,0,0,1,4527.47,4533.46,13.5137,
307,4522.35,2,20,3,2,0,5,0,0,1,4534.25,4537.71,11.8931,
308,4579.59,1,25,3,1,0,5,0,0,1,4588.69,4592.76,9.09814,
309,4683.14,1,36,3,1,0,5,0,0,1,4692.71,4697.41,9.56348,
310,4720.97,1,40,3,1,0,5,0,0,1,4732.83,4740.63,11.853,
311,4730.6,2,41,3,2,0,5,0,0,1,4742.47,4746.5,11.8628,
312,4760.95,1,44,3,1,0,5,0,0,1,4770.03,4775.3,9.07471,
313,4775.17,2,45,3,1,0,6,1,0,2,4784.26,4788.06,9.09131,
314,4779.67,2,45,3,2,0,6,0,0,2,4788.76,4792.62,9.09814,
315,4782.3,3,46,3,3,0,6,0,0,2,4792.28,4798.03,9.98438,
316,4807.43,1,48,3,1,0,6,0,0,2,4817.79,4822.27,10.3672,
317,4822.37,1,50,3,1,0,6,0,0,2,4831.76,4836.9,9.3916,
318,4828.33,2,50,3,2,0,6,0,0,2,4840.65,4845.84,12.3218,
319,4840.11,2,52,3,2,0,6,0,0,2,4850.03,4855.53,9.91553,
320,4850.11,2,53,3,1,0,6,1,0,2,4861.05,4864.21,10.9365,
321,4851.08,3,53,3,2,0,6,1,0,2,4860.36,4863.82,9.28467,
322,4856.66,3,53,3,3,0,6,0,0,2,4866.22,4870.29,9.56348,
323,4860.6,4,54,3,3,0,6,1,0,2,4873.94,4879.09,13.3438,
324,4863.56,5,54,3,3,0,6,2,0,2,4874.47,4878.78,10.9141,
325,4885,1,56,3,1,0,6,0,0,2,4896.3,4899.44,11.2954,
326,4892.32,2,57,3,2,0,6,0,0,2,4901.54,4907.53,9.22363,
